id,title,cast,crew,genres,keywords,vote_count,vote_average
58,Pirates of the Caribbean: Dead Man's Chest,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Director:Gore Verbinski,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune teller', 'bondage']",5246,7.0
155,The Dark Knight,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",Director:Christopher Nolan,"['Drama', 'Action', 'Crime']","['dc comics', 'crime fighter', 'secret identity']",12002,8.2
217,Indiana Jones and the Kingdom of the Crystal Skull,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",Director:Steven Spielberg,"['Adventure', 'Action']","['saving the world', 'riddle', 'whip']",2495,5.7
254,King Kong,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",Director:Peter Jackson,"['Adventure', 'Drama', 'Action']","['film business', 'screenplay', 'show business']",2337,6.6
285,Pirates of the Caribbean: At World's End,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Director:Gore Verbinski,"['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island']",4500,6.9
296,Terminator 3: Rise of the Machines,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes']",Director:Jonathan Mostow,"['Action', 'Thriller', 'Science Fiction']","['saving the world', 'artificial intelligence', 'man vs machine']",2143,5.9
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['William Moseley', 'Anna Popplewell', 'Skandar Keynes']",Director:Andrew Adamson,"['Adventure', 'Family', 'Fantasy']","['saving the world', 'witch', 'based on novel']",2629,6.7
534,Terminator Salvation,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",Director:McG,"['Action', 'Science Fiction', 'Thriller']","['saving the world', 'artificial intelligence', 'prophecy']",2463,5.9
559,Spider-Man 3,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",Director:Sam Raimi,"['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm']",3576,5.9
597,Titanic,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",Director:James Cameron,"['Drama', 'Romance', 'Thriller']","['shipwreck', 'iceberg', 'ship']",7562,7.5
767,Harry Potter and the Half-Blood Prince,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",Director:David Yates,"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom']",5293,7.4
1452,Superman Returns,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",Director:Bryan Singer,"['Adventure', 'Fantasy', 'Action']","['saving the world', 'dc comics', 'invulnerability']",1400,5.4
1726,Iron Man,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']",Director:Jon Favreau,"['Action', 'Science Fiction', 'Adventure']","['middle east', 'arms dealer', 'malibu']",8776,7.4
1735,The Mummy: Tomb of the Dragon Emperor,"['Brendan Fraser', 'Jet Li', 'John Hannah']",Director:Rob Cohen,"['Adventure', 'Action', 'Fantasy']",[],1387,5.2
1865,Pirates of the Caribbean: On Stranger Tides,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",Director:Rob Marshall,"['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutiny']",4948,6.4
1930,The Amazing Spider-Man,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",Director:Marc Webb,"['Action', 'Adventure', 'Fantasy']","['loss of father', 'vigilante', 'serum']",6586,6.5
2268,The Golden Compass,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",Director:Chris Weitz,"['Adventure', 'Fantasy']","['england', 'compass', 'experiment']",1303,5.8
2454,The Chronicles of Narnia: Prince Caspian,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",Director:Andrew Adamson,"['Adventure', 'Family', 'Fantasy']","['based on novel', 'fictional place', 'brother sister relationship']",1630,6.3
2698,Evan Almighty,"['Steve Carell', 'Lauren Graham', 'John Goodman']",Director:Tom Shadyac,"['Fantasy', 'Comedy', 'Family']","['father son relationship', 'daily life', 'married couple']",1151,5.3
5174,Rush Hour 3,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",Director:Brett Ratner,"['Action', 'Comedy', 'Crime']",['ambassador'],783,6.1
5255,The Polar Express,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye']",Director:Robert Zemeckis,"['Adventure', 'Animation', 'Family']","['santa claus', 'nerd', 'faith']",1474,6.4
8373,Transformers: Revenge of the Fallen,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",Director:Michael Bay,"['Science Fiction', 'Action', 'Adventure']","['egypt', 'sun', 'chaos']",3138,6.0
8487,Wild Wild West,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']",Director:Barry Sonnenfeld,"['Action', 'Adventure', 'Comedy']","['steampunk', 'based on tv series', 'steam locomotive']",1020,5.1
9543,Prince of Persia: The Sands of Time,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",Director:Mike Newell,"['Adventure', 'Fantasy', 'Action']","['persia', 'sandstorm', 'brother against brother']",2317,6.2
9804,Waterworld,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']",Director:Kevin Reynolds,"['Adventure', 'Action']","['ocean', 'tattoo', 'mutant']",992,5.9
10138,Iron Man 2,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",Director:Jon Favreau,"['Adventure', 'Action', 'Science Fiction']","['malibu', 'marvel comic', 'superhero']",6849,6.6
10191,How to Train Your Dragon,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']",Director:Chris Sanders,"['Fantasy', 'Adventure', 'Animation']","['flying', 'blacksmith', 'arena']",4227,7.5
10192,Shrek Forever After,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",Director:Mike Mitchell,"['Comedy', 'Adventure', 'Fantasy']","['ogre', '3d']",1959,6.0
10193,Toy Story 3,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",Director:Lee Unkrich,"['Animation', 'Family', 'Comedy']","['hostage', 'college', 'toy']",4597,7.6
10681,WALL·E,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",Director:Andrew Stanton,"['Animation', 'Family']",['romantic comedy'],6296,7.8
10764,Quantum of Solace,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",Director:Marc Forster,"['Adventure', 'Action', 'Thriller']","['killing', 'undercover', 'secret agent']",2965,6.1
12155,Alice in Wonderland,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",Director:Tim Burton,"['Family', 'Fantasy', 'Adventure']","['based on novel', 'fictional place', 'queen']",4645,6.4
14160,Up,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",Director:Pete Docter,"['Animation', 'Comedy', 'Family']","['age difference', 'central and south america', 'balloon']",6870,7.7
14161,2012,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",Director:Roland Emmerich,"['Action', 'Adventure', 'Science Fiction']","['civilization', 'natural disaster', 'end of the world']",4903,5.6
14869,G.I. Joe: The Rise of Cobra,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans']",Director:Stephen Sommers,"['Adventure', 'Action', 'Thriller']","['terrorist', 'secret', 'hostage']",1962,5.6
15512,Monsters vs Aliens,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']",Director:Conrad Vernon,"['Animation', 'Family', 'Adventure']","['alien', 'giant robot', 'duringcreditsstinger']",1423,6.0
17979,A Christmas Carol,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']",Director:Robert Zemeckis,"['Animation', 'Drama']","['holiday', 'based on novel', 'victorian england']",1095,6.6
19995,Avatar,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Director:James Cameron,"['Action', 'Adventure', 'Fantasy']","['culture clash', 'future', 'space war']",11800,7.2
