id,title,cast,crew,keywords,genres,vote_count,vote_average
58,Pirates of the Caribbean: Dead Man's Chest,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Director:Gore Verbinski,"['witch', 'fortune teller', 'bondage']","['Adventure', 'Fantasy', 'Action']",5246,7.0
155,The Dark Knight,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",Director:Christopher Nolan,"['dc comics', 'crime fighter', 'secret identity']","['Drama', 'Action', 'Crime']",12002,8.2
217,Indiana Jones and the Kingdom of the Crystal Skull,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",Director:Steven Spielberg,"['saving the world', 'riddle', 'whip']","['Adventure', 'Action']",2495,5.7
254,King Kong,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",Director:Peter Jackson,"['film business', 'screenplay', 'show business']","['Adventure', 'Drama', 'Action']",2337,6.6
285,Pirates of the Caribbean: At World's End,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Director:Gore Verbinski,"['ocean', 'drug abuse', 'exotic island']","['Adventure', 'Fantasy', 'Action']",4500,6.9
296,Terminator 3: Rise of the Machines,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes']",Director:Jonathan Mostow,"['saving the world', 'artificial intelligence', 'man vs machine']","['Action', 'Thriller', 'Science Fiction']",2143,5.9
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['William Moseley', 'Anna Popplewell', 'Skandar Keynes']",Director:Andrew Adamson,"['saving the world', 'witch', 'based on novel']","['Adventure', 'Family', 'Fantasy']",2629,6.7
534,Terminator Salvation,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",Director:McG,"['saving the world', 'artificial intelligence', 'prophecy']","['Action', 'Science Fiction', 'Thriller']",2463,5.9
559,Spider-Man 3,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",Director:Sam Raimi,"['dual identity', 'amnesia', 'sandstorm']","['Fantasy', 'Action', 'Adventure']",3576,5.9
597,Titanic,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",Director:James Cameron,"['shipwreck', 'iceberg', 'ship']","['Drama', 'Romance', 'Thriller']",7562,7.5
767,Harry Potter and the Half-Blood Prince,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",Director:David Yates,"['witch', 'magic', 'broom']","['Adventure', 'Fantasy', 'Family']",5293,7.4
1452,Superman Returns,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",Director:Bryan Singer,"['saving the world', 'dc comics', 'invulnerability']","['Adventure', 'Fantasy', 'Action']",1400,5.4
1726,Iron Man,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']",Director:Jon Favreau,"['middle east', 'arms dealer', 'malibu']","['Action', 'Science Fiction', 'Adventure']",8776,7.4
1735,The Mummy: Tomb of the Dragon Emperor,"['Brendan Fraser', 'Jet Li', 'John Hannah']",Director:Rob Cohen,[],"['Adventure', 'Action', 'Fantasy']",1387,5.2
1865,Pirates of the Caribbean: On Stranger Tides,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",Director:Rob Marshall,"['sea', 'captain', 'mutiny']","['Adventure', 'Action', 'Fantasy']",4948,6.4
1930,The Amazing Spider-Man,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",Director:Marc Webb,"['loss of father', 'vigilante', 'serum']","['Action', 'Adventure', 'Fantasy']",6586,6.5
2268,The Golden Compass,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",Director:Chris Weitz,"['england', 'compass', 'experiment']","['Adventure', 'Fantasy']",1303,5.8
2454,The Chronicles of Narnia: Prince Caspian,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",Director:Andrew Adamson,"['based on novel', 'fictional place', 'brother sister relationship']","['Adventure', 'Family', 'Fantasy']",1630,6.3
2698,Evan Almighty,"['Steve Carell', 'Lauren Graham', 'John Goodman']",Director:Tom Shadyac,"['father son relationship', 'daily life', 'married couple']","['Fantasy', 'Comedy', 'Family']",1151,5.3
5174,Rush Hour 3,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",Director:Brett Ratner,['ambassador'],"['Action', 'Comedy', 'Crime']",783,6.1
5255,The Polar Express,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye']",Director:Robert Zemeckis,"['santa claus', 'nerd', 'faith']","['Adventure', 'Animation', 'Family']",1474,6.4
8373,Transformers: Revenge of the Fallen,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",Director:Michael Bay,"['egypt', 'sun', 'chaos']","['Science Fiction', 'Action', 'Adventure']",3138,6.0
8487,Wild Wild West,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']",Director:Barry Sonnenfeld,"['steampunk', 'based on tv series', 'steam locomotive']","['Action', 'Adventure', 'Comedy']",1020,5.1
9543,Prince of Persia: The Sands of Time,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",Director:Mike Newell,"['persia', 'sandstorm', 'brother against brother']","['Adventure', 'Fantasy', 'Action']",2317,6.2
9804,Waterworld,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']",Director:Kevin Reynolds,"['ocean', 'tattoo', 'mutant']","['Adventure', 'Action']",992,5.9
10138,Iron Man 2,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",Director:Jon Favreau,"['malibu', 'marvel comic', 'superhero']","['Adventure', 'Action', 'Science Fiction']",6849,6.6
10191,How to Train Your Dragon,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']",Director:Chris Sanders,"['flying', 'blacksmith', 'arena']","['Fantasy', 'Adventure', 'Animation']",4227,7.5
10192,Shrek Forever After,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",Director:Mike Mitchell,"['ogre', '3d']","['Comedy', 'Adventure', 'Fantasy']",1959,6.0
10193,Toy Story 3,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",Director:Lee Unkrich,"['hostage', 'college', 'toy']","['Animation', 'Family', 'Comedy']",4597,7.6
10681,WALL·E,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",Director:Andrew Stanton,['romantic comedy'],"['Animation', 'Family']",6296,7.8
10764,Quantum of Solace,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",Director:Marc Forster,"['killing', 'undercover', 'secret agent']","['Adventure', 'Action', 'Thriller']",2965,6.1
12155,Alice in Wonderland,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",Director:Tim Burton,"['based on novel', 'fictional place', 'queen']","['Family', 'Fantasy', 'Adventure']",4645,6.4
14160,Up,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",Director:Pete Docter,"['age difference', 'central and south america', 'balloon']","['Animation', 'Comedy', 'Family']",6870,7.7
14161,2012,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",Director:Roland Emmerich,"['civilization', 'natural disaster', 'end of the world']","['Action', 'Adventure', 'Science Fiction']",4903,5.6
14869,G.I. Joe: The Rise of Cobra,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans']",Director:Stephen Sommers,"['terrorist', 'secret', 'hostage']","['Adventure', 'Action', 'Thriller']",1962,5.6
15512,Monsters vs Aliens,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']",Director:Conrad Vernon,"['alien', 'giant robot', 'duringcreditsstinger']","['Animation', 'Family', 'Adventure']",1423,6.0
17979,A Christmas Carol,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']",Director:Robert Zemeckis,"['holiday', 'based on novel', 'victorian england']","['Animation', 'Drama']",1095,6.6
19995,Avatar,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Director:James Cameron,"['culture clash', 'future', 'space war']","['Action', 'Adventure', 'Fantasy']",11800,7.2
20526,TRON: Legacy,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",Director:Joseph Kosinski,"['artificial intelligence', 'secret identity', 'computer program']","['Adventure', 'Action', 'Science Fiction']",2841,6.3
20662,Robin Hood,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",Director:Ridley Scott,"['robin hood', 'archer', 'knight']","['Action', 'Adventure']",1398,6.2
24428,The Avengers,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",Director:Joss Whedon,"['new york', 'shield', 'marvel comic']","['Science Fiction', 'Action', 'Adventure']",11776,7.4
